,0,1,2
82,シンガポール,4,マレー語、英語（英国式）、中国語（香港台湾式繫体字・大陸式簡体字）、タミール語
83,ジンバブエ,1,英語（英国式）
84,スイス,4,ドイツ語、フランス語、イタリア語、ロマンシュ語
85,スウェーデン,1,スウェーデン語
86,スーダン,2,アラビア語、英語（英国式）
87,スペイン,1,スペイン語
88,スリナム,1,オランダ語
89,スリランカ,2,シンハラ語、タミル語
90,スロバキア,1,スロバキア語
91,スロベニア,1,スロベニア語
92,セーシェル,3,クレオール語、英語（英国式）、フランス語
93,セネガル,1,フランス語
94,セルビア,1,セルビア語
95,セントクリストファー・ネイビス,1,英語（米国式）
96,セントビンセントおよびグレナディーン諸島,1,英語（米国式）
97,セントルシア,1,英語（米国式）
98,ソマリア,2,ソマリ語、アラビア語
99,ソロモン諸島,1,英語（英国式）
100,タイ,1,タイ語
101,タジキスタン,1,タジク語
102,タンザニア,2,スワヒリ語、英語（英国式）
103,チェコ,1,チェコ語
104,チャド,2,アラビア語、フランス語
105,チュニジア,1,アラビア語
106,チリ,1,スペイン語
107,ツバル,2,ツバル語、英語（英国式）
108,デンマーク,1,デンマーク語
109,ドイツ,1,ドイツ語
110,トーゴ,1,フランス語
111,ドミニカ,1,英語（米国式）
112,ドミニカ共和国,1,スペイン語
113,トリニダード・トバゴ,1,英語（米国式）
114,トルクメニスタン,1,トルクメン語
115,トルコ,1,トルコ語
116,トンガ,2,トンガ語、英語（英国式）
117,ナイジェリア,1,英語（英国式）
118,ナウル,2,英語（英国式）、ナウル語
119,ナミビア,1,英語（英国式）
120,ニウエ,2,ニウエ語、英語（英国式）
121,ニカラグア,2,スペイン語、英語（米国式）
122,ニジェール,1,フランス語
123,ニューカレドニア,1,フランス語
124,ニュージーランド,3,英語（英国式）、マオリ語、ニュージーランド手話
125,ネパール,1,ネパール語
126,ノルウェー,1,ノルウェー語
127,バーレーン,1,アラビア語
128,ハイチ,2,フランス語、クレオール語
129,パキスタン,2,ウルドゥー語、英語（英国式）
130,バチカン,1,ラテン語
131,パナマ,1,スペイン語
132,バヌアツ,3,フランス語、英語（英国式）、ビスラマ語
133,バハマ,1,英語（米国式）
134,パプアニューギニア,2,英語（英国式）、トク・ピシン.ヒリモツ語
135,バミューダ諸島,2,英語（米国式）、ポルトガル語
136,パラオ,2,パラオ語、英語（英国式）
137,パラグアイ,2,スペイン語、グアラニー語
138,バルバドス,1,英語（米国式）
139,ハンガリー,1,ハンガリー語
140,バングラデシュ,1,ベンガル語
141,フィジー,3,英語（英国式）、フィジー語、ヒンドゥスターニー語
142,フィリピン,2,タガログ語、英語（米国式）
143,フィンランド,2,フィンランド語、スウェーデン語
144,ブータン,1,ゾンカ語
145,プエルトリコ,2,スペイン語、英語（米国式）
146,ブラジル,1,ポルトガル語
147,フランス,1,フランス語
148,フランス領ギアナ,1,フランス語
149,フランス領ポリネシア,2,フランス語、タヒチ語
150,ブルガリア,1,ブルガリア語
151,ブルキナファソ,1,フランス語
152,ブルネイ,2,マレー語、英語（英国式）
153,ブルンジ,3,スワヒリ語、フランス語、ルンディ語
154,ベトナム,1,ベトナム語
155,ベナン,1,フランス語
156,ベネズエラ,1,スペイン語
157,ベラルーシ,2,ベラルーシ語、ロシア語
158,ベリーズ,2,英語（米国式）、スペイン語
159,ペルー,1,スペイン語
160,ベルギー,3,オランダ語、フランス語、ドイツ語
161,ポーランド,1,ポーランド語
162,ボスニア・ヘルツェゴビナ,3,クロアチア語、セルビア語、ボスニア語
163,ボツワナ,2,英語（英国式）、ツワナ語
164,ボリビア,1,スペイン語
165,ポルトガル,2,ポルトガル語、ミランダ語
166,ホンジュラス,1,スペイン語
167,マーシャル諸島,2,マーシャル語、英語（米国式）
168,マカオ,2,ポルトガル語、中国語（香港台湾式繁体字）
169,マダガスカル,2,マダガスカル語、フランス語
170,マラウイ,1,英語（英国式）
171,マリ,1,フランス語
172,マルタ,2,マルタ語、英語（英国式）
173,マレーシア,4,マレー語、中国語（香港台湾式繫体字・大陸式簡体字）、タミール語、英語（英国式）
174,ミクロネシア連邦,1,英語（米国式）
175,ミャンマー,1,ビルマ語（ミャンマー語）
176,メキシコ,1,スペイン語
177,モーリシャス,3,英語（英国式）、フランス語、クレオール語
178,モーリタニア,1,アラビア語
179,モザンビーク,1,ポルトガル語
180,モナコ,1,フランス語
181,モルディブ,1,ディベヒ語
182,モルドバ,4,ウクライナ語、ガガウズ語、モルドバ語、ロシア語
183,モロッコ,3,アラビア語、ベルベル語、フランス語
184,モンゴル,1,モンゴル語
185,モンテネグロ,2,モンテネグロ語、セルビア語
186,ヨルダン,1,アラビア語
187,ラオス,1,ラオス語
188,ラトビア,1,ラトビア語
189,リトアニア,1,リトアニア語
190,リビア,1,アラビア語
191,リヒテンシュタイン,1,ドイツ語
192,リベリア,1,英語（英国式）
193,ルーマニア,1,ルーマニア語
194,ルクセンブルク,3,フランス語、ドイツ語、ルクセンブルク語
195,ルワンダ,3,ルワンダ語、フランス語、英語（英国式）
196,レソト,2,英語（英国式）、ソト語
197,レバノン,1,アラビア語
198,レユニオン,1,フランス語
199,ロシア,1,ロシア語
200,韓国,1,韓国語
201,香港,2,英語（英国式）、中国語（香港台湾式繁体字）
202,赤道ギニア,3,スペイン語、フランス語、ポルトガル語
203,台湾,1,中国語（香港台湾式繁体字）
204,中央アフリカ,2,フランス語、サンゴ語
205,中国,1,中国語（大陸式簡体字）
206,東ティモール,2,テトゥン語、ポルトガル語
207,南アフリカ,11,アフリカーンス語、英語（英国式）、ズールー語、南ンデベレ語、北ソト語、ソト語、スワジ語、ツォンガ語、ツワナ語、ヴェンダ語、コサ語
208,日本,1,日本語
209,米領サモア,2,英語（米国式）、サモア語
210,北マケドニア,5,アルバニア語、セルビア語、トルコ語、マケドニア語、ロマ語
211,北マリアナ諸島,3,英語（米国式）、チャモロ語、カロリニアン語
212,北朝鮮,1,朝鮮語
