,cs,island,LangCount,EthnicCount,ReliCount,NonReli,,BritanicaLink,Lang
北マリアナ諸島,Northern Mariana Islands,1,3,4,4,,,https://www.britannica.com/place/Northern-Mariana-Islands,英語（米国式）、チャモロ語、カロリニアン語
ノルウェー,Norway,0,1,2,1,,Norway,https://www.britannica.com/place/Norway,ノルウェー語
オマーン,Oman,0,1,4,3,,Oman,https://www.britannica.com/place/Oman,アラビア語
パキスタン,Pakistan,0,2,4,1,,Pakistan,https://www.britannica.com/place/Pakistan,ウルドゥー語、英語（英国式）
パラオ,Palau,1,2,2,4,11.2,Palau,https://www.britannica.com/place/Palau,パラオ語、英語（英国式）
パナマ,Panama,0,1,3,2,,Panama,https://www.britannica.com/place/Panama,スペイン語
パプアニューギニア,Papua New Guinea,1,2,1,5,,Papua-New-Guinea,https://www.britannica.com/place/Papua-New-Guinea,英語（英国式）、トク・ピシン.ヒリモツ語
パラグアイ,Paraguay,0,2,1,2,,Paraguay,https://www.britannica.com/place/Paraguay,スペイン語、グアラニー語
ペルー,Peru,0,1,3,2,5.1,Peru,https://www.britannica.com/place/Peru,スペイン語
フィリピン,Philippines,1,2,6,2,,Philippines,https://www.britannica.com/place/Philippines,タガログ語、英語（米国式）
ポーランド,Poland,0,1,1,1,11.8,Poland,https://www.britannica.com/place/Poland,ポーランド語
ポルトガル,Portugal,0,2,1,1,6.8,Portugal,https://www.britannica.com/place/Portugal,ポルトガル語、ミランダ語
プエルトリコ,Puerto Rico,1,2,2,2,,,,スペイン語、英語（米国式）
カタール,Qatar,0,1,2,3,,Qatar,https://www.britannica.com/place/Qatar,アラビア語
ルーマニア,Romania,1,1,2,1,,Romania,https://www.britannica.com/place/Romania,ルーマニア語
ロシア,Russian Federation,0,1,1,3,27,Russia,https://www.britannica.com/place/Russia,ロシア語
ルワンダ,Rwanda,1,3,2,3,,Rwanda,https://www.britannica.com/place/Rwanda,ルワンダ語、フランス語、英語（英国式）
セントクリストファー・ネイビス,Saint Kitts and Nevis,1,1,2,2,,Saint-Kitts-and-Nevis,https://www.britannica.com/place/Saint-Kitts-and-Nevis,英語（米国式）
セントルシア,Saint Lucia,1,1,2,4,5.9,Saint-Lucia,https://www.britannica.com/place/Saint-Lucia,英語（米国式）
セントビンセントおよびグレナディーン諸島,Saint Vincent and the Grenadines,1,1,2,6,7.5,Saint-Vincent-and-the-Grenadines,https://www.britannica.com/place/Saint-Vincent-and-the-Grenadines,英語（米国式）
サモア,Samoa,1,2,1,5,,Samoa-island-nation-Pacific-Ocean,https://www.britannica.com/place/Samoa-island-nation-Pacific-Ocean,サモア語、英語（米国式）
サンマリノ,San Marino,0,1,2,1,5.1,San-Marino-republic-Europe,https://www.britannica.com/place/San-Marino-republic-Europe,イタリア語
サントメ・プリンシペ,Sao Tome and Principe,1,1,3,1,21.2,Sao-Tome-and-Principe,https://www.britannica.com/place/Sao-Tome-and-Principe,ポルトガル語
サウジアラビア,Saudi Arabia,0,1,2,2,,Saudi-Arabia,https://www.britannica.com/place/Saudi-Arabia,アラビア語
セネガル,Senegal,0,1,3,1,,Senegal,https://www.britannica.com/place/Senegal,フランス語
セルビア,Serbia,0,1,1,2,6.3,Serbia,https://www.britannica.com/place/Serbia,セルビア語
セーシェル,Seychelles,1,3,1,2,10.1,Seychelles,https://www.britannica.com/place/Seychelles,クレオール語、英語（英国式）、フランス語
シエラレオネ,Sierra Leone,0,1,4,2,,Sierra-Leone,https://www.britannica.com/place/Sierra-Leone,英語（英国式）
シンガポール,Singapore,1,4,3,4,18.5,Singapore,https://www.britannica.com/place/Singapore,マレー語、英語（英国式）、中国語（香港台湾式繫体字・大陸式簡体字）、タミール語
スロバキア,Slovakia,0,1,2,2,13.4,Slovakia,https://www.britannica.com/place/Slovakia,スロバキア語
スロベニア,Slovenia,0,1,1,1,10.2,Slovenia,https://www.britannica.com/place/Slovenia,スロベニア語
ソロモン諸島,Solomon Islands,1,1,1,5,6.3,Solomon-Islands,https://www.britannica.com/place/Solomon-Islands,英語（英国式）
ソマリア,Somalia,0,2,1,1,,Somalia,https://www.britannica.com/place/Somalia,ソマリ語、アラビア語
南アフリカ,South Africa,0,11,3,2,6.7,South-Africa,https://www.britannica.com/place/South-Africa,アフリカーンス語、英語（英国式）、ズールー語、南ンデベレ語、北ソト語、ソト語、スワジ語、ツォンガ語、ツワナ語、ヴェンダ語、コサ語
スペイン,Spain,0,1,1,1,27.5,Spain,https://www.britannica.com/place/Spain,スペイン語
スリランカ,Sri Lanka,1,2,3,4,,Sri-Lanka,https://www.britannica.com/place/Sri-Lanka,シンハラ語、タミル語
スーダン,Sudan,0,2,1,4,,Sudan,https://www.britannica.com/place/Sudan,アラビア語、英語（英国式）
スリナム,Suriname,0,1,5,4,7.9,Suriname,https://www.britannica.com/place/Suriname,オランダ語
スワジランド（エスワティニ）,Swaziland,0,2,2,3,,Eswatini,https://www.britannica.com/place/Eswatini,スワジランド語、英語
スウェーデン,Sweden,0,1,1,1,30,Sweden,https://www.britannica.com/place/Sweden,スウェーデン語
スイス,Switzerland,0,4,1,4,29.5,Switzerland,https://www.britannica.com/place/Switzerland,ドイツ語、フランス語、イタリア語、ロマンシュ語
シリア,Syrian Arab Republic,0,1,3,3,,Syria,https://www.britannica.com/place/Syria,アラビア語
台湾,Taiwan Province of China,1,1,2,2,18.2,Taiwan,https://www.britannica.com/place/Taiwan,中国語（香港台湾式繁体字）
タジキスタン,Tajikistan,0,1,2,1,,Tajikistan,https://www.britannica.com/place/Tajikistan,タジク語
タンザニア,Tanzania United Republic of,0,2,2,2,,Tanzania,https://www.britannica.com/place/Tanzania,スワヒリ語、英語（英国式）
タイ,Thailand,0,1,1,1,,Thailand,https://www.britannica.com/place/Thailand,タイ語
東ティモール,Timor-Leste,1,2,1,1,,East-Timor,https://www.britannica.com/place/East-Timor,テトゥン語、ポルトガル語
トーゴ,Togo,0,1,7,5,,Togo,https://www.britannica.com/place/Togo,フランス語
トンガ,Tonga,1,2,1,5,9,Tonga,https://www.britannica.com/place/Tonga,トンガ語、英語（英国式）
トリニダード・トバゴ,Trinidad and Tobago,1,1,4,3,19.5,Trinidad-and-Tobago,https://www.britannica.com/place/Trinidad-and-Tobago,英語（米国式）
チュニジア,Tunisia,0,1,2,1,,Tunisia,https://www.britannica.com/place/Tunisia,アラビア語
トルコ,Turkey,0,1,3,2,,Turkey,https://www.britannica.com/place/Turkey,トルコ語
トルクメニスタン,Turkmenistan,0,1,2,1,9,Turkmenistan,https://www.britannica.com/place/Turkmenistan,トルクメン語
,Turks and Caicos Islands,1,1,1,1,,,https://www.britannica.com/place/Turks-and-Caicos-Islands,英語
ツバル,Tuvalu,1,2,1,1,,Tuvalu,https://www.britannica.com/place/Tuvalu,ツバル語、英語（英国式）
ウガンダ,Uganda,0,2,6,4,,Uganda,https://www.britannica.com/place/Uganda,英語（英国式）、スワヒリ語
ウクライナ,Ukraine,0,1,2,2,42.5,Ukraine,https://www.britannica.com/place/Ukraine,ウクライナ語
アラブ首長国連邦,United Arab Emirates,0,1,6,3,,United-Arab-Emirates,https://www.britannica.com/place/United-Arab-Emirates,アラビア語
イギリス,United Kingdom,1,1,1,1,25.7,United-Kingdom,https://www.britannica.com/place/United-Kingdom,英語（英国式）
アメリカ,United States,0,1,4,2,16,United-States,https://www.britannica.com/place/United-States,英語（米国式）
ウルグアイ,Uruguay,0,1,3,4,,Uruguay,https://www.britannica.com/place/Uruguay,スペイン語
ウズベキスタン,Uzbekistan,0,1,1,1,18.1,Uzbekistan,https://www.britannica.com/place/Uzbekistan,ウズベク語
バヌアツ,Vanuatu,1,3,1,4,23.7,Vanuatu,https://www.britannica.com/place/Vanuatu,フランス語、英語（英国式）、ビスラマ語
ベネズエラ,Venezuela Bolivarian Republic of,0,1,3,1,11.5,Venezuela,https://www.britannica.com/place/Venezuela,スペイン語
ベトナム,Viet Nam,0,1,1,1,86.3,Vietnam,https://www.britannica.com/place/Vietnam,ベトナム語
,Virgin Islands British,1,1,4,1,,,,
,Virgin Islands U.S,1,1,4,1,,,,
イエメン,Yemen,0,1,1,2,,Yemen,https://www.britannica.com/place/Yemen,アラビア語
ザンビア,Zambia,0,1,5,2,,Zambia,https://www.britannica.com/place/Zambia,英語（英国式）
ジンバブエ,Zimbabwe,0,1,1,4,10.5,Zimbabwe,https://www.britannica.com/place/Zimbabwe,英語（英国式）
