,Country,Date,Android,iOS
14,Asia,2010-03,0.44,7.13
15,Asia,2010-04,0.53,7.16
16,Asia,2010-05,0.42,7.36
17,Asia,2010-06,0.49,6.39
18,Asia,2010-07,1.39,6.37
19,Asia,2010-08,1.85,6.44
20,Asia,2010-09,2.08,5.4
21,Asia,2010-10,3.26,5.88
22,Asia,2010-11,4.38,6.27
23,Asia,2010-12,5.62,7.15
24,Asia,2011-01,5.71,7.37
25,Asia,2011-02,6.24,7.28
26,Asia,2011-03,6.76,7.24
27,Asia,2011-04,7.92,7.35
28,Asia,2011-05,9.94,7.47
29,Asia,2011-06,10.7,6.2
30,Asia,2011-07,12.79,6.5
31,Asia,2011-08,14.65,6.67
32,Asia,2011-09,13.39,7.19
33,Asia,2011-10,13.31,7.82
34,Asia,2011-11,12.33,7.84
35,Asia,2011-12,11.9,7.43
36,Asia,2012-01,13.43,8.03
37,Asia,2012-02,15.87,9.07
38,Asia,2012-03,15.17,8.38
39,Asia,2012-04,15.15,8.01
40,Asia,2012-05,15.52,7.67
41,Asia,2012-06,17.43,9.97
42,Asia,2012-07,19.25,11.05
43,Asia,2012-08,21.31,9.6
44,Asia,2012-09,22.38,7.84
45,Asia,2012-10,23.96,7.64
46,Asia,2012-11,26.35,7.6
47,Asia,2012-12,28.72,7.78
48,Asia,2013-01,34.77,9.14
49,Asia,2013-02,34.63,10.36
50,Asia,2013-03,34.22,10.58
51,Asia,2013-04,36.63,10.38
52,Asia,2013-05,36.79,10.05
53,Asia,2013-06,36.48,9.45
54,Asia,2013-07,37.05,9.1
55,Asia,2013-08,38.56,9.08
56,Asia,2013-09,39.3,9.07
57,Asia,2013-10,40.33,8.47
58,Asia,2013-11,42.41,8.95
59,Asia,2013-12,44.79,8.9
60,Asia,2014-01,47.25,10.1
61,Asia,2014-02,49.39,10.36
62,Asia,2014-03,49.78,10.36
63,Asia,2014-04,51.72,10.92
64,Asia,2014-05,52.62,10.74
65,Asia,2014-06,54.92,11.13
66,Asia,2014-07,54.68,10.78
67,Asia,2014-08,56.8,10.78
68,Asia,2014-09,58.75,10.71
69,Asia,2014-10,60.52,11.16
70,Asia,2014-11,62.32,10.28
71,Asia,2014-12,61.55,9.95
72,Asia,2015-01,63.44,10.85
73,Asia,2015-02,65.14,11.68
74,Asia,2015-03,66.77,11.46
75,Asia,2015-04,67.22,11.58
76,Asia,2015-05,67.54,11.58
77,Asia,2015-06,67.65,11.45
78,Asia,2015-07,68.48,11.97
79,Asia,2015-08,69.8,11.51
80,Asia,2015-09,70.55,11.18
81,Asia,2015-10,70.92,10.96
82,Asia,2015-11,69.72,11.46
83,Asia,2015-12,70.17,10.91
84,Asia,2016-01,70.71,11.01
85,Asia,2016-02,71.05,10.86
86,Asia,2016-03,72.61,10.99
87,Asia,2016-04,72.85,11.19
88,Asia,2016-05,73.22,11.3
89,Asia,2016-06,72.98,12.66
90,Asia,2016-07,72.78,12.61
91,Asia,2016-08,72.05,13.06
92,Asia,2016-09,73.45,12.62
93,Asia,2016-10,75.42,12.21
94,Asia,2016-11,76.77,11.86
95,Asia,2016-12,76.72,11.8
96,Asia,2017-01,77.1,11.84
97,Asia,2017-02,77.6,11.63
98,Asia,2017-03,77.23,11.57
99,Asia,2017-04,76.91,12.92
100,Asia,2017-05,78.17,11.97
101,Asia,2017-06,78.57,11.54
102,Asia,2017-07,78.98,11.17
103,Asia,2017-08,79.16,12.01
104,Asia,2017-09,79.24,11.77
105,Asia,2017-10,79.39,11.53
106,Asia,2017-11,80.34,11.16
107,Asia,2017-12,80.78,10.62
108,Asia,2018-01,81.27,10.82
109,Asia,2018-02,82.36,11.14
110,Asia,2018-03,82.43,11.09
111,Asia,2018-04,82.89,10.59
112,Asia,2018-05,83.89,10.32
113,Asia,2018-06,83.99,10.79
114,Asia,2018-07,84.8,11.19
115,Asia,2018-08,83.84,13.14
116,Asia,2018-09,84.12,12.51
117,Asia,2018-10,83.24,12.79
118,Asia,2018-11,82.73,13.1
119,Asia,2018-12,83.54,12.71
120,Asia,2019-01,82.52,13.8
121,Asia,2019-02,82.42,14.09
122,Asia,2019-03,83.62,13.23
123,Asia,2019-04,83.25,14.06
124,Asia,2019-05,83.5,13.75
125,Asia,2019-06,84.63,12.74
126,Asia,2019-07,84.67,12.72
127,Asia,2019-08,85.07,12.86
128,Asia,2019-09,85.48,12.97
129,Asia,2019-10,85.61,12.86
130,Asia,2019-11,86.19,12.11
131,Asia,2019-12,85.9,12.69
132,Asia,2020-01,85.46,13.42
133,Asia,2020-02,83.94,15.03
134,Asia,2020-03,83.66,15.27
135,Asia,2020-04,82.55,16.71
136,Asia,2020-05,82.38,16.67
137,Asia,2020-06,82.74,16.52
138,Asia,2020-07,83.08,16.26
139,Asia,2020-08,82.8,16.56
140,Asia,2020-09,83.53,15.85
141,Asia,2020-10,83.24,16.17
142,Asia,2020-11,82.06,17.15
143,Asia,2020-12,83.7,15.58
144,Asia,2021-01,82.95,16.35
145,Asia,2021-02,82.85,16.32
146,Asia,2021-03,82.3,16.85
147,Asia,2021-04,82.59,16.51
148,Asia,2021-05,82.95,16.14
149,Asia,2021-06,82.72,16.34
150,Asia,2021-07,82.56,16.49
151,Asia,2021-08,83.01,16.05
152,Asia,2021-09,83.21,15.9
153,Asia,2021-10,83.21,16.04
154,Asia,2021-11,82.96,16.21
155,Asia,2021-12,82.07,17.1
156,Asia,2022-01,81.44,17.73
157,Asia,2022-02,81.23,17.9
158,Asia,2022-03,81.4,17.78
159,Asia,2022-04,81.24,18.0
160,Asia,2022-05,81.36,17.91
161,Asia,2022-06,81.97,17.41
162,Asia,2022-07,81.52,17.92
163,Asia,2022-08,82.27,17.18
164,Asia,2022-09,82.99,16.49
165,Asia,2022-10,83.38,16.06
0,Europe,2009-01,0.18,35.93
1,Europe,2009-02,0.67,39.46
2,Europe,2009-03,0.79,44.18
3,Europe,2009-04,0.82,46.81
4,Europe,2009-05,0.21,42.12
5,Europe,2009-06,0.06,39.57
6,Europe,2009-07,1.5,39.62
7,Europe,2009-08,1.79,39.72
8,Europe,2009-09,2.12,39.91
9,Europe,2009-10,2.36,42.73
10,Europe,2009-11,2.64,44.63
11,Europe,2009-12,2.82,46.51
12,Europe,2010-01,2.85,50.44
13,Europe,2010-02,3.3,52.01
14,Europe,2010-03,3.75,49.45
15,Europe,2010-04,3.72,49.92
16,Europe,2010-05,2.39,50.56
17,Europe,2010-06,2.68,48.31
18,Europe,2010-07,7.41,45.67
19,Europe,2010-08,9.26,46.82
20,Europe,2010-09,10.54,44.28
21,Europe,2010-10,11.67,44.01
22,Europe,2010-11,12.59,42.28
23,Europe,2010-12,14.41,42.52
24,Europe,2011-01,16.37,44.95
25,Europe,2011-02,17.24,44.79
26,Europe,2011-03,17.97,44.53
27,Europe,2011-04,18.76,43.66
28,Europe,2011-05,20.5,43.03
29,Europe,2011-06,21.66,41.68
30,Europe,2011-07,23.13,40.68
31,Europe,2011-08,25.25,40.43
32,Europe,2011-09,26.32,40.9
33,Europe,2011-10,28.37,42.29
34,Europe,2011-11,28.66,41.41
35,Europe,2011-12,29.39,40.16
36,Europe,2012-01,30.89,41.19
37,Europe,2012-02,31.4,42.31
38,Europe,2012-03,31.72,41.63
39,Europe,2012-04,32.6,41.32
40,Europe,2012-05,33.4,41.19
41,Europe,2012-06,35.6,40.81
42,Europe,2012-07,36.41,40.66
43,Europe,2012-08,38.81,39.97
44,Europe,2012-09,40.2,39.72
45,Europe,2012-10,40.75,39.55
46,Europe,2012-11,41.71,39.56
47,Europe,2012-12,42.75,38.67
48,Europe,2013-01,44.1,39.02
49,Europe,2013-02,45.21,39.81
50,Europe,2013-03,45.49,38.94
51,Europe,2013-04,45.62,38.92
52,Europe,2013-05,45.47,39.25
53,Europe,2013-06,45.3,39.07
54,Europe,2013-07,46.32,38.79
55,Europe,2013-08,47.92,38.31
56,Europe,2013-09,48.35,37.62
57,Europe,2013-10,47.21,34.85
58,Europe,2013-11,48.14,37.45
59,Europe,2013-12,48.7,35.9
60,Europe,2014-01,48.81,33.34
61,Europe,2014-02,52.97,31.19
62,Europe,2014-03,55.82,32.7
63,Europe,2014-04,56.56,32.18
64,Europe,2014-05,59.32,31.73
65,Europe,2014-06,57.88,33.77
66,Europe,2014-07,58.13,34.53
67,Europe,2014-08,59.95,31.67
68,Europe,2014-09,60.79,31.66
69,Europe,2014-10,61.98,31.78
70,Europe,2014-11,62.7,30.47
71,Europe,2014-12,61.85,31.64
72,Europe,2015-01,61.68,30.97
73,Europe,2015-02,61.68,31.03
74,Europe,2015-03,63.05,29.4
75,Europe,2015-04,64.12,28.2
76,Europe,2015-05,64.19,28.31
77,Europe,2015-06,63.81,28.41
78,Europe,2015-07,63.66,28.41
79,Europe,2015-08,63.23,28.54
80,Europe,2015-09,64.06,27.85
81,Europe,2015-10,64.69,27.31
82,Europe,2015-11,64.01,28.46
83,Europe,2015-12,64.6,27.74
84,Europe,2016-01,64.76,28.26
85,Europe,2016-02,65.18,27.8
86,Europe,2016-03,66.5,26.86
87,Europe,2016-04,66.84,26.55
88,Europe,2016-05,66.74,26.84
89,Europe,2016-06,66.89,27.36
90,Europe,2016-07,67.66,26.87
91,Europe,2016-08,68.44,26.38
92,Europe,2016-09,69.01,26.17
93,Europe,2016-10,68.54,26.86
94,Europe,2016-11,68.9,26.93
95,Europe,2016-12,68.64,27.35
96,Europe,2017-01,67.45,29.0
97,Europe,2017-02,67.75,28.76
98,Europe,2017-03,67.81,28.87
99,Europe,2017-04,68.59,28.25
100,Europe,2017-05,68.31,28.62
101,Europe,2017-06,69.47,27.44
102,Europe,2017-07,70.88,26.01
103,Europe,2017-08,69.95,27.17
104,Europe,2017-09,70.06,27.18
105,Europe,2017-10,69.32,28.24
106,Europe,2017-11,68.89,28.78
107,Europe,2017-12,68.44,29.27
108,Europe,2018-01,69.1,28.78
109,Europe,2018-02,69.35,28.65
110,Europe,2018-03,69.77,28.38
111,Europe,2018-04,71.46,26.55
112,Europe,2018-05,72.44,25.73
113,Europe,2018-06,74.07,24.06
114,Europe,2018-07,74.2,24.15
115,Europe,2018-08,73.67,24.81
116,Europe,2018-09,73.54,25.08
117,Europe,2018-10,69.85,28.81
118,Europe,2018-11,64.57,33.84
119,Europe,2018-12,70.37,28.35
120,Europe,2019-01,70.91,27.95
121,Europe,2019-02,71.2,27.69
122,Europe,2019-03,72.79,26.2
123,Europe,2019-04,73.05,25.96
124,Europe,2019-05,73.21,25.87
125,Europe,2019-06,72.48,26.64
126,Europe,2019-07,73.71,25.43
127,Europe,2019-08,74.04,25.13
128,Europe,2019-09,72.73,26.49
129,Europe,2019-10,72.87,26.45
130,Europe,2019-11,72.76,26.57
131,Europe,2019-12,71.76,27.58
132,Europe,2020-01,72.58,26.77
133,Europe,2020-02,71.89,27.55
134,Europe,2020-03,71.77,27.72
135,Europe,2020-04,70.43,29.18
136,Europe,2020-05,70.88,28.73
137,Europe,2020-06,73.32,26.25
138,Europe,2020-07,73.87,25.71
139,Europe,2020-08,73.18,26.39
140,Europe,2020-09,72.86,26.67
141,Europe,2020-10,67.81,31.77
142,Europe,2020-11,68.2,31.42
143,Europe,2020-12,68.33,31.31
144,Europe,2021-01,68.52,31.01
145,Europe,2021-02,68.05,31.14
146,Europe,2021-03,68.82,30.41
147,Europe,2021-04,68.82,30.39
148,Europe,2021-05,68.43,30.83
149,Europe,2021-06,69.15,30.1
150,Europe,2021-07,68.44,30.82
151,Europe,2021-08,69.29,30.02
152,Europe,2021-09,67.13,32.16
153,Europe,2021-10,63.02,36.42
154,Europe,2021-11,64.02,35.42
155,Europe,2021-12,63.64,35.66
156,Europe,2022-01,63.85,35.33
157,Europe,2022-02,64.66,34.52
158,Europe,2022-03,69.32,29.98
159,Europe,2022-04,71.81,27.6
160,Europe,2022-05,67.79,31.43
161,Europe,2022-06,66.81,32.31
162,Europe,2022-07,67.09,32.02
163,Europe,2022-08,67.22,31.87
164,Europe,2022-09,64.67,34.57
165,Europe,2022-10,61.1,38.42
0,North America,2009-01,1.55,59.8
1,North America,2009-02,4.82,60.83
2,North America,2009-03,4.86,62.84
3,North America,2009-04,4.34,64.75
4,North America,2009-05,4.58,61.75
5,North America,2009-06,0.27,61.57
6,North America,2009-07,4.71,57.99
7,North America,2009-08,4.93,58.96
8,North America,2009-09,5.31,56.74
9,North America,2009-10,6.15,57.22
10,North America,2009-11,7.44,53.23
11,North America,2009-12,9.55,54.52
12,North America,2010-01,10.58,55.09
13,North America,2010-02,11.57,52.25
14,North America,2010-03,13.12,47.07
15,North America,2010-04,12.18,44.87
16,North America,2010-05,8.86,44.29
17,North America,2010-06,8.79,41.81
18,North America,2010-07,15.5,39.46
19,North America,2010-08,17.63,37.98
20,North America,2010-09,21.26,38.5
21,North America,2010-10,21.4,36.53
22,North America,2010-11,21.89,34.39
23,North America,2010-12,23.52,35.03
24,North America,2011-01,24.56,36.42
25,North America,2011-02,26.42,37.53
26,North America,2011-03,28.4,39.34
27,North America,2011-04,27.13,36.69
28,North America,2011-05,28.05,33.31
29,North America,2011-06,29.96,34.29
30,North America,2011-07,31.12,36.38
31,North America,2011-08,34.79,36.86
32,North America,2011-09,35.46,38.84
33,North America,2011-10,35.99,41.03
34,North America,2011-11,35.85,42.99
35,North America,2011-12,37.51,41.77
36,North America,2012-01,38.63,44.29
37,North America,2012-02,38.73,46.15
38,North America,2012-03,37.96,46.84
39,North America,2012-04,38.28,47.38
40,North America,2012-05,38.3,47.17
41,North America,2012-06,37.55,48.78
42,North America,2012-07,38.3,49.12
43,North America,2012-08,38.91,49.1
44,North America,2012-09,39.38,49.22
45,North America,2012-10,38.81,49.65
46,North America,2012-11,38.7,49.54
47,North America,2012-12,39.31,49.35
48,North America,2013-01,38.74,51.19
49,North America,2013-02,38.22,51.95
50,North America,2013-03,39.42,51.07
51,North America,2013-04,39.47,51.74
52,North America,2013-05,39.38,52.24
53,North America,2013-06,38.8,52.13
54,North America,2013-07,38.81,51.54
55,North America,2013-08,39.51,50.37
56,North America,2013-09,39.15,50.21
57,North America,2013-10,39.25,49.21
58,North America,2013-11,39.79,49.92
59,North America,2013-12,40.04,50.13
60,North America,2014-01,39.12,52.57
61,North America,2014-02,41.54,50.8
62,North America,2014-03,42.04,50.88
63,North America,2014-04,42.93,50.13
64,North America,2014-05,44.4,48.73
65,North America,2014-06,44.83,48.51
